Tipo documento;Nacionalidad;GÈnero;Fecha nacimiento;PaÌs residencia;Municipio residencia;Estrato vivienda;Personas hogar;Tiene internet;Tiene computador;Colegio gÈnero;Calendario;Colegio ·rea;Jornada;Lectura crÌtica;DesempeÒo lectura critica;Matem·ticas;DesempeÒo matem·ticas;Ciencias naturales;DesempeÒo naturales;Ciencias sociales;DesempeÒo sociales;Ingles;DesempeÒo ingles;Puntaje global;Percentil global
TI;COLOMBIA;F;20/06/2001;COLOMBIA;CALI;Estrato 3;1 a 2;Si;Si;MIXTO;B;URBANO;MA—ANA;60;3;47;2;41;2;42;2;51;A1;239;26
TI;COLOMBIA;F;14/06/2001;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;70;4;72;4;63;3;68;3;70;B1;342;77
CC;COLOMBIA;F;1/01/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;5 a 6;Si;Si;MIXTO;B;RURAL;COMPLETA;76;4;61;3;67;3;65;3;77;B1;340;76
CC;COLOMBIA;F;16/07/1999;COLOMBIA;CARTAGO;Estrato 3;1 a 2;Si;Si;MIXTO;OTRO;URBANO;TARDE;47;2;41;2;46;2;55;2;54;A1;239;26
TI;COLOMBIA;F;20/09/1999;COLOMBIA;CHÕA;Estrato 3;3 a 4;Si;Si;MIXTO;OTRO;URBANO;NOCHE;49;2;48;2;48;2;56;3;52;A1;252;32
CC;COLOMBIA;F;26/05/1999;COLOMBIA;POPAY¡N;Estrato 4;5 a 6;Si;Si;MIXTO;OTRO;URBANO;TARDE;52;3;41;2;44;2;31;1;48;A1;212;15
TI;COLOMBIA;M;29/06/2001;COLOMBIA;BOGOT¡Å D.C.;Estrato 4;3 a 4;Si;Si;MIXTO;OTRO;URBANO;MA—ANA;60;3;45;2;55;2;48;2;76;B1;269;40
TI;COLOMBIA;F;20/11/2001;COLOMBIA;CAICEDONIA;Estrato 5;3 a 4;Si;Si;FEMENINO;B;URBANO;COMPLETA;70;4;65;3;68;3;67;3;86;B+;345;78
CC;COLOMBIA;F;6/02/1968;COLOMBIA;CALI;Estrato 4;1 a 2;No;No;MIXTO;A;URBANO;SABATINA;41;2;37;2;47;2;43;2;27;A-;204;12
TI;COLOMBIA;F;15/01/2002;COLOMBIA;GUADALAJARA DE BUGA;Estrato 3;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;79;4;86;4;71;4;68;3;67;A2;377;94
CC;COLOMBIA;F;29/03/1981;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;3 a 4;Si;Si;MIXTO;A;URBANO;NOCHE;57;3;33;1;46;2;52;2;49;A1;236;25
TI;COLOMBIA;F;5/03/2001;COLOMBIA;ENVIGADO;Estrato 6;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;77;4;82;4;100;4;80;4;87;B+;425;100
TI;COLOMBIA;F;11/01/2001;COLOMBIA;CALI;Estrato 4;3 a 4;Si;Si;FEMENINO;B;URBANO;MA—ANA;55;3;48;2;31;1;41;2;62;A2;226;20
TI;COLOMBIA;M;4/06/2001;COLOMBIA;CARTAGO;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;50;2;57;3;58;3;48;2;50;A1;265;38
