Tipo documento;Nacionalidad;GÈnero;Fecha nacimiento;PaÌs residencia;Municipio residencia;Estrato vivienda;Personas hogar;Tiene internet;Tiene computador;Colegio gÈnero;Calendario;Colegio ·rea;Jornada;Lectura crÌtica;DesempeÒo lectura critica;Matem·ticas;DesempeÒo matem·ticas;Ciencias naturales;DesempeÒo naturales;Ciencias sociales;DesempeÒo sociales;Ingles;DesempeÒo ingles;Puntaje global;Percentil global
CC;COLOMBIA;F;29/09/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;71;4;65;3;69;3;63;3;90;B+;344;78
TI;COLOMBIA;M;19/03/2001;COLOMBIA;CALI;Estrato 5;1 a 2;Si;Si;MIXTO;B;URBANO;COMPLETA;75;4;77;4;100;4;81;4;86;B+;417;100
TI;COLOMBIA;M;31/07/2000;COLOMBIA;CALI;Estrato 1;3 a 4;Si;Si;MIXTO;A;RURAL;SABATINA;42;2;27;1;29;1;36;1;29;A-;166;2
TI;COLOMBIA;F;20/01/2002;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;FEMENINO;B;URBANO;COMPLETA;61;3;62;3;72;4;70;3;79;B+;336;73
TI;COLOMBIA;F;23/10/2001;COLOMBIA;CALI;Estrato 3;3 a 4;No;Si;MIXTO;B;URBANO;MA—ANA;69;4;75;4;67;3;65;3;71;B1;346;79
TI;COLOMBIA;M;20/04/2001;COLOMBIA;YUMBO;Estrato 2;1 a 2;Si;Si;MIXTO;B;URBANO;MA—ANA;49;2;61;3;50;2;55;2;58;A2;270;40
TI;COLOMBIA;F;5/04/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;69;4;52;3;72;4;73;4;76;B1;336;73
TI;COLOMBIA;M;5/11/2001;COLOMBIA;SOLEDAD;Estrato 2;5 a 6;Si;No;MIXTO;A;URBANO;NOCHE;35;1;49;2;45;2;41;2;46;A-;214;16
TI;COLOMBIA;M;3/11/2000;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;3 a 4;Si;Si;MIXTO;B;RURAL;COMPLETA;73;4;53;3;61;3;78;4;83;B+;338;74
CC;COLOMBIA;M;23/09/1999;COLOMBIA;CHÕA;Sin Estrato;Sin Respuesta;Sin respuesta;-;MIXTO;OTRO;URBANO;NOCHE;43;2;46;2;38;1;37;1;45;A-;207;13
CC;COLOMBIA;M;21/08/1999;COLOMBIA;ENVIGADO;Estrato 6;5 a 6;Si;Si;MIXTO;B;RURAL;COMPLETA;62;3;73;4;65;3;65;3;84;B+;338;75
TI;COLOMBIA;M;7/01/2001;COLOMBIA;PALMIRA;Estrato 1;5 a 6;No;No;MIXTO;OTRO;URBANO;SABATINA;52;3;43;2;46;2;38;1;51;A1;226;21
TI;COLOMBIA;M;11/05/2001;COLOMBIA;CALI;Estrato 2;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;63;3;65;3;57;3;66;3;54;A1;310;59
TI;COLOMBIA;F;10/03/2001;COLOMBIA;CALI;Estrato 3;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;59;3;53;3;49;2;50;2;53;A1;264;37
TI;COLOMBIA;M;4/02/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;71;4;68;3;75;4;74;4;83;B+;364;89
TI;COLOMBIA;M;25/05/2002;COLOMBIA;BARRANQUILLA;Estrato 3;Sin Respuesta;Si;-;MIXTO;B;URBANO;COMPLETA;55;3;63;3;63;3;50;2;63;A2;291;49
CC;COLOMBIA;M;3/11/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;70;4;78;4;72;4;68;3;82;B+;364;89
TI;COLOMBIA;F;10/03/2001;COLOMBIA;EL CERRITO;Estrato 1;3 a 4;Si;Si;MIXTO;B;RURAL;COMPLETA;53;3;55;3;54;2;40;1;66;A2;258;35
TI;COLOMBIA;M;11/02/2001;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;Sin Respuesta;Sin respuesta;-;MIXTO;OTRO;URBANO;NOCHE;64;3;55;3;55;2;55;2;74;B1;293;50
TI;COLOMBIA;F;4/10/2000;COLOMBIA;PEREIRA;Sin Estrato;1 a 2;Sin respuesta;Si;MIXTO;B;RURAL;COMPLETA;68;4;62;3;60;3;78;4;81;B+;340;76
TI;COLOMBIA;F;11/09/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 4;3 a 4;Si;Si;MIXTO;B;RURAL;COMPLETA;75;4;66;3;77;4;77;4;83;B+;372;92
TI;COLOMBIA;F;10/10/2000;COLOMBIA;POPAY¡N;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;61;3;60;3;55;2;57;3;60;A2;292;50
TI;COLOMBIA;F;26/05/2000;COLOMBIA;CALI;Estrato 6;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;71;4;72;4;68;3;68;3;80;B+;353;83
TI;COLOMBIA;M;6/01/2002;COLOMBIA;GUACARÕ;Estrato 4;5 a 6;Si;Si;MIXTO;B;URBANO;MA—ANA;63;3;73;4;69;3;52;2;57;A1;318;63
TI;COLOMBIA;F;10/09/2000;COLOMBIA;CALI;Estrato 3;9 o m·s;Si;Si;MIXTO;B;URBANO;COMPLETA;50;2;41;2;41;2;53;2;44;A-;230;22
TI;COLOMBIA;M;23/03/2001;COLOMBIA;CALI;Estrato 2;5 a 6;Si;Si;MIXTO;B;URBANO;MA—ANA;48;2;43;2;51;2;49;2;39;A-;235;25
TI;ESTADOS UNIDOS;M;23/07/2001;ESTADOS UNIDOS;POPAY¡N;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;56;3;69;3;62;3;56;3;70;B1;307;58
TI;COLOMBIA;M;14/10/2000;COLOMBIA;POPAY¡N;Sin Estrato;3 a 4;Sin respuesta;Si;MIXTO;OTRO;URBANO;MA—ANA;64;3;57;3;54;2;73;4;47;A-;304;56
CC;COLOMBIA;M;10/08/1999;COLOMBIA;MEDELLÕN;Estrato 2;3 a 4;Si;Si;MIXTO;OTRO;URBANO;SABATINA;61;3;60;3;57;3;57;3;46;A-;289;49
TI;COLOMBIA;F;20/12/2000;COLOMBIA;GUADALAJARA DE BUGA;Estrato 2;Sin Respuesta;Si;Si;MIXTO;B;URBANO;MA—ANA;62;3;51;3;55;2;53;2;50;A1;274;42
CR;COLOMBIA;F;6/11/1999;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;Sin Respuesta;Sin respuesta;-;MIXTO;B;URBANO;COMPLETA;66;4;50;2;53;2;59;3;77;B1;293;50
CC;COLOMBIA;F;2/01/1991;COLOMBIA;MEDELLÕN;Estrato 4;1 a 2;Si;Si;MIXTO;OTRO;URBANO;MA—ANA;54;3;40;2;49;2;56;3;45;A-;247;30
CC;COLOMBIA;M;30/06/1999;COLOMBIA;CARTAGENA DE INDIAS;Estrato 6;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;73;4;70;3;69;3;66;3;86;B+;354;83
TI;COLOMBIA;F;27/05/2001;COLOMBIA;CALI;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;62;3;55;3;59;3;66;3;74;B1;308;58
TI;COLOMBIA;F;14/04/2001;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;52;3;44;2;49;2;48;2;46;A-;240;27
CC;COLOMBIA;M;26/06/2000;COLOMBIA;CALI;Estrato 2;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;59;3;61;3;66;3;69;3;45;A-;312;60
TI;COLOMBIA;M;2/03/2000;COLOMBIA;GUADALAJARA DE BUGA;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;69;4;55;3;53;2;65;3;68;B1;305;57
TI;COLOMBIA;F;13/07/2001;COLOMBIA;CALI;Sin Estrato;9 o m·s;Sin respuesta;Si;MIXTO;B;URBANO;MA—ANA;48;2;46;2;44;2;39;1;39;A-;219;18
TI;COLOMBIA;F;10/02/2001;COLOMBIA;EL PAUJÕL;Estrato 2;3 a 4;No;Si;MIXTO;A;URBANO;SABATINA;41;2;34;1;36;1;40;1;28;A-;185;6
CC;COLOMBIA;M;3/10/1981;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;7 a 8;Si;No;MIXTO;A;URBANO;SABATINA;53;3;46;2;48;2;49;2;41;A-;242;28
CC;COLOMBIA;M;12/06/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;65;3;62;3;58;3;63;3;78;B1;316;62
CC;COLOMBIA;M;2/07/1988;COLOMBIA;LOS PATIOS;Estrato 2;3 a 4;No;Si;MIXTO;A;RURAL;SABATINA;44;2;43;2;38;1;48;2;43;A-;216;17
CC;COLOMBIA;F;19/06/1994;COLOMBIA;CALI;Estrato 3;1 a 2;Si;No;MIXTO;B;URBANO;SABATINA;39;2;38;2;37;1;33;1;28;A-;180;5
TI;COLOMBIA;F;23/01/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 5;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;66;4;68;3;70;3;64;3;82;B+;341;76
CC;COLOMBIA;M;4/07/1998;COLOMBIA;MONTERÕA;Estrato 3;7 a 8;Si;No;MIXTO;A;URBANO;MA—ANA;59;3;39;2;62;3;54;2;68;B1;273;41
TI;COLOMBIA;F;14/12/2001;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;56;3;39;2;44;2;44;2;57;A1;233;23
TI;COLOMBIA;F;27/12/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;3 a 4;Si;No;MIXTO;A;URBANO;MA—ANA;51;3;40;2;40;1;48;2;40;A-;222;19
TI;COLOMBIA;M;2/10/2001;COLOMBIA;CALI;Estrato 4;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;74;4;84;4;77;4;74;4;83;B+;388;97
TI;COLOMBIA;F;24/03/2000;COLOMBIA;MEDELLÕN;Estrato 1;3 a 4;No;Si;MIXTO;OTRO;URBANO;SABATINA;44;2;24;1;48;2;30;1;31;A-;180;5
TI;COLOMBIA;F;19/12/2000;COLOMBIA;LA PLATA;Estrato 2;1 a 2;No;Si;MIXTO;A;URBANO;SABATINA;49;2;34;1;39;1;37;1;38;A-;198;10
TI;COLOMBIA;M;9/03/2002;COLOMBIA;PEREIRA;Estrato 4;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;68;4;62;3;69;3;59;3;76;B1;327;68
TI;COLOMBIA;F;15/05/2002;COLOMBIA;PASTO;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;57;3;56;3;56;3;58;3;52;A1;282;45
TI;COLOMBIA;M;1/06/2001;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;3 a 4;Si;Si;MIXTO;A;URBANO;MA—ANA;50;2;54;3;49;2;53;2;55;A1;259;35
CC;COLOMBIA;F;25/03/1999;COLOMBIA;SOACHA;Estrato 2;5 a 6;Si;Si;MIXTO;A;URBANO;SABATINA;47;2;48;2;45;2;46;2;33;A-;227;21
CE;COLOMBIA;M;8/10/1999;COLOMBIA;CALI;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;47;2;55;3;46;2;55;2;34;A-;247;30
TI;COLOMBIA;M;6/11/2001;COLOMBIA;CALI;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;59;3;68;3;61;3;53;2;61;A2;302;55
TI;COLOMBIA;M;18/01/2000;COLOMBIA;BARRANQUILLA;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;68;4;64;3;62;3;59;3;78;B1;322;65
CC;COLOMBIA;M;15/04/1999;COLOMBIA;MEDELLÕN;Estrato 3;5 a 6;Si;Si;MIXTO;OTRO;URBANO;MA—ANA;52;3;47;2;43;2;50;2;48;A1;240;27
CC;COLOMBIA;M;3/10/1999;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;1 a 2;Sin respuesta;Si;MIXTO;A;URBANO;MA—ANA;66;4;50;2;56;3;52;2;55;A1;280;44
TI;COLOMBIA;F;5/06/2005;COLOMBIA;PALMIRA;Estrato 3;9 o m·s;Si;Si;MIXTO;B;URBANO;MA—ANA;58;3;35;1;40;1;40;1;53;A1;220;18
TI;COLOMBIA;F;18/10/2001;COLOMBIA;CALI;Estrato 5;5 a 6;Si;Si;MIXTO;B;URBANO;MA—ANA;63;3;53;3;57;3;53;2;55;A1;282;45
TI;COLOMBIA;M;4/03/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;3 a 4;Si;Si;MIXTO;A;URBANO;NOCHE;46;2;54;3;51;2;43;2;36;A-;238;26
CR;COLOMBIA;M;25/07/1999;COLOMBIA;CALI;Sin Estrato;3 a 4;Sin respuesta;Si;MIXTO;B;URBANO;MA—ANA;36;2;36;2;46;2;38;1;60;A2;203;12
CC;COLOMBIA;F;5/06/1976;COLOMBIA;BEL…N DE UMBRÕA;Sin Estrato;3 a 4;Sin respuesta;Si;MIXTO;A;URBANO;NOCHE;53;3;31;1;33;1;34;1;28;A-;185;6
TI;COLOMBIA;M;4/11/1998;COLOMBIA;ILES;Estrato 3;3 a 4;No;No;MIXTO;A;URBANO;TARDE;46;2;41;2;31;1;41;2;29;A-;195;9
CC;COLOMBIA;F;18/08/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;65;3;70;3;69;3;75;4;82;B+;353;83
CC;COLOMBIA;M;12/06/1987;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;5 a 6;No;No;MIXTO;A;URBANO;SABATINA;37;2;33;1;35;1;42;2;32;A-;182;5
TI;COLOMBIA;M;22/09/2001;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;61;3;62;3;61;3;61;3;68;B1;309;58
TI;COLOMBIA;F;19/05/2000;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;1 a 2;Sin respuesta;Si;MIXTO;B;RURAL;COMPLETA;68;4;70;3;64;3;59;3;76;B1;330;70
TI;COLOMBIA;F;22/08/1999;COLOMBIA;PALMIRA;Estrato 3;1 a 2;Si;Si;MIXTO;B;URBANO;COMPLETA;51;3;43;2;57;3;49;2;62;A2;255;33
CC;COLOMBIA;F;14/12/1997;COLOMBIA;MUTAT¡;Estrato 2;3 a 4;Si;No;MIXTO;A;RURAL;NOCHE;44;2;32;1;28;1;33;1;38;A-;173;3
TI;COLOMBIA;M;20/07/2001;COLOMBIA;BARRANQUILLA;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;74;4;79;4;74;4;79;4;88;B+;387;97
TI;COLOMBIA;F;3/01/2000;COLOMBIA;CALI;Estrato 3;5 a 6;Si;Si;MIXTO;B;URBANO;MA—ANA;44;2;34;1;37;1;37;1;34;A-;188;7
TI;COLOMBIA;M;24/05/2000;COLOMBIA;GUADALAJARA DE BUGA;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;72;4;74;4;70;3;66;3;78;B1;355;84
TI;COLOMBIA;M;26/12/2000;COLOMBIA;PALMIRA;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;56;3;50;2;52;2;52;2;58;A2;265;38
TI;COLOMBIA;M;26/12/2001;COLOMBIA;PALMIRA;Estrato 3;7 a 8;Si;Si;MIXTO;B;URBANO;MA—ANA;53;3;40;2;44;2;51;2;51;A1;237;25
TI;COLOMBIA;M;28/01/2001;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;5 a 6;Sin respuesta;Si;MIXTO;A;URBANO;SABATINA;59;3;55;3;54;2;51;2;46;A-;270;40
TI;COLOMBIA;M;11/04/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;3 a 4;Si;Si;MIXTO;A;URBANO;SABATINA;58;3;54;3;51;2;56;3;60;A2;276;43
CC;COLOMBIA;F;27/01/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 5;7 a 8;Si;Si;FEMENINO;B;URBANO;COMPLETA;60;3;63;3;62;3;50;2;75;B1;300;54
TI;COLOMBIA;F;24/11/2001;COLOMBIA;CALI;Estrato 4;5 a 6;Si;Si;MIXTO;B;URBANO;MA—ANA;74;4;66;3;60;3;69;3;77;B1;340;76
TI;COLOMBIA;M;5/05/2000;COLOMBIA;PASTO;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;72;4;60;3;66;3;59;3;68;B1;323;65
CC;COLOMBIA;F;23/04/1966;COLOMBIA;CHÕA;Sin Estrato;3 a 4;Sin respuesta;Si;MIXTO;OTRO;URBANO;NOCHE;48;2;37;2;39;1;42;2;40;A-;207;13
TI;COLOMBIA;F;13/01/2001;COLOMBIA;BARRANQUILLA;Estrato 5;1 a 2;Si;Si;MIXTO;B;URBANO;COMPLETA;54;3;59;3;58;3;61;3;78;B1;298;53
TI;COLOMBIA;M;8/12/1999;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;3 a 4;Si;Si;MIXTO;A;URBANO;SABATINA;48;2;27;1;44;2;38;1;42;A-;197;10
TI;COLOMBIA;M;8/02/2001;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;3 a 4;Si;Si;MIXTO;A;URBANO;COMPLETA;55;3;51;3;51;2;54;2;65;A2;268;39
CR;COLOMBIA;F;5/11/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;74;4;68;3;72;4;71;4;84;B+;361;87
TI;COLOMBIA;M;12/07/2001;COLOMBIA;POPAY¡N;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;80;4;79;4;71;4;67;3;72;B1;370;92
CC;COLOMBIA;M;28/09/1998;COLOMBIA;ANCUY¡Å;Estrato 1;7 a 8;Si;Si;MIXTO;A;URBANO;MA—ANA;33;1;53;3;45;2;39;1;40;A-;212;15
TI;COLOMBIA;M;4/06/2000;COLOMBIA;MEDELLÕN;Estrato 2;5 a 6;Si;Si;MIXTO;OTRO;URBANO;MA—ANA;43;2;26;1;33;1;28;1;39;A-;165;2
TI;COLOMBIA;M;8/06/2000;COLOMBIA;PALMIRA;Estrato 1;1 a 2;Si;No;MIXTO;B;URBANO;MA—ANA;51;3;46;2;39;1;50;2;35;A-;228;21
TI;COLOMBIA;M;23/07/2000;COLOMBIA;MEDELLÕN;Estrato 6;3 a 4;Si;Si;MIXTO;B;RURAL;COMPLETA;71;4;77;4;67;3;70;3;77;B1;358;86
TI;COLOMBIA;M;20/10/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;1 a 2;Si;Si;MIXTO;A;URBANO;NOCHE;49;2;52;3;59;3;52;2;50;A1;264;37
TI;COLOMBIA;M;25/12/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;1 a 2;Si;Si;MIXTO;A;URBANO;NOCHE;68;4;60;3;64;3;68;3;76;B1;329;69
TI;COLOMBIA;M;27/06/2000;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;49;2;29;1;39;1;39;1;39;A-;195;9
TI;COLOMBIA;F;28/09/2001;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;63;3;46;2;51;2;52;2;66;A2;270;40
TI;COLOMBIA;F;11/09/2002;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;66;4;55;3;55;2;54;2;60;A2;288;48
CC;COLOMBIA;F;28/11/1998;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;3 a 4;Si;Si;FEMENINO;B;URBANO;COMPLETA;67;4;64;3;63;3;71;4;86;B+;339;75
CC;COLOMBIA;M;19/04/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;5 a 6;Si;No;MIXTO;B;URBANO;COMPLETA;62;3;76;4;61;3;71;4;84;B+;344;78
CC;COLOMBIA;M;16/08/1999;COLOMBIA;CALI;Estrato 3;1 a 2;Si;Si;FEMENINO;B;URBANO;COMPLETA;65;3;61;3;62;3;55;2;58;A2;303;55
CC;COLOMBIA;F;22/11/1999;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;62;3;59;3;67;3;67;3;84;B+;327;68
TI;COLOMBIA;M;29/06/2000;COLOMBIA;CALI;Sin Estrato;5 a 6;Sin respuesta;Si;MIXTO;B;URBANO;COMPLETA;62;3;52;3;51;2;59;3;69;B1;285;47
TI;COLOMBIA;M;12/03/2001;COLOMBIA;BARRANQUILLA;Sin Estrato;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;76;4;85;4;57;3;78;4;75;B1;370;92
TI;COLOMBIA;F;4/01/2002;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;54;3;55;3;59;3;50;2;58;A2;274;42
TI;COLOMBIA;F;15/02/2000;COLOMBIA;GUADALAJARA DE BUGA;Estrato 2;5 a 6;No;No;MIXTO;B;URBANO;NOCHE;62;3;67;3;55;2;55;2;39;A-;291;49
TI;COLOMBIA;F;27/08/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;65;3;64;3;67;3;62;3;75;B1;327;68
TI;COLOMBIA;F;7/01/2000;COLOMBIA;CALI;Estrato 6;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;55;3;73;4;32;1;49;2;79;B+;272;41
CC;COLOMBIA;M;26/09/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;7 a 8;Si;Si;MIXTO;A;URBANO;MA—ANA;36;2;29;1;35;1;33;1;42;A-;170;2
TI;COLOMBIA;F;2/02/2000;COLOMBIA;CALI;Estrato 4;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;48;2;46;2;47;2;41;2;54;A1;231;23
CC;COLOMBIA;M;19/09/1999;COLOMBIA;CALI;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;74;4;69;3;68;3;84;4;81;B+;372;92
TI;COLOMBIA;M;7/07/2000;COLOMBIA;DUITAMA;Estrato 1;5 a 6;No;No;MIXTO;A;URBANO;MA—ANA;49;2;42;2;52;2;55;2;35;A-;242;28
CC;COLOMBIA;F;23/02/1963;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;1 a 2;Si;Si;MIXTO;A;URBANO;SABATINA;60;3;47;2;54;2;68;3;42;A-;280;45
TI;COLOMBIA;M;30/09/2000;COLOMBIA;MEDELLÕN;Estrato 1;5 a 6;Si;No;MIXTO;A;URBANO;MA—ANA;56;3;39;2;40;1;48;2;33;A-;224;20
TI;COLOMBIA;M;16/11/2001;COLOMBIA;CALI;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;73;4;75;4;70;3;73;4;81;B+;367;90
TI;COLOMBIA;M;22/03/2000;COLOMBIA;CHÕA;Estrato 3;3 a 4;Si;Si;MIXTO;OTRO;URBANO;NOCHE;47;2;51;3;39;1;40;1;41;A-;220;18
TI;COLOMBIA;M;13/04/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;71;4;68;3;53;2;75;4;78;B1;338;75
CC;COLOMBIA;F;25/04/1995;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;Sin Respuesta;Sin respuesta;-;MIXTO;A;URBANO;NOCHE;57;3;56;3;46;2;55;2;54;A1;268;39
CC;COLOMBIA;M;25/01/1957;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;3 a 4;Sin respuesta;Si;MIXTO;A;URBANO;NOCHE;39;2;35;1;40;1;42;2;28;A-;191;7
CC;COLOMBIA;F;21/12/1997;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;5 a 6;Si;Si;MIXTO;A;URBANO;MA—ANA;43;2;42;2;42;2;27;1;46;A-;195;9
CC;COLOMBIA;M;23/06/1998;COLOMBIA;PACHO;Estrato 1;9 o m·s;No;Si;MIXTO;A;URBANO;SABATINA;43;2;22;1;32;1;37;1;34;A-;168;2
TI;COLOMBIA;F;28/08/2000;COLOMBIA;BARRANQUILLA;Estrato 4;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;63;3;74;4;68;3;67;3;85;B+;347;79
TI;COLOMBIA;F;13/07/2000;COLOMBIA;CAJIC¡Å;Estrato 5;3 a 4;Si;Si;MIXTO;B;RURAL;MA—ANA;69;4;73;4;78;4;80;4;84;B+;378;95
CC;COLOMBIA;M;7/04/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;3 a 4;Si;Si;MIXTO;A;URBANO;NOCHE;56;3;54;3;51;2;41;2;48;A1;252;32
TI;COLOMBIA;M;3/01/2001;COLOMBIA;YUMBO;Estrato 3;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;64;3;53;3;61;3;58;3;56;A1;294;51
TI;COLOMBIA;F;25/01/2001;COLOMBIA;CALI;Estrato 2;5 a 6;Si;Si;MIXTO;B;URBANO;MA—ANA;64;3;70;3;68;3;58;3;66;A2;325;67
CC;COLOMBIA;M;11/02/1999;COLOMBIA;SOLEDAD;Estrato 2;3 a 4;No;Si;MIXTO;A;URBANO;NOCHE;62;3;52;3;45;2;40;1;44;A-;247;29
TI;COLOMBIA;F;7/12/2000;COLOMBIA;PALMIRA;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;50;2;41;2;52;2;45;2;71;B1;244;28
TI;COLOMBIA;F;7/03/2000;COLOMBIA;CALI;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;69;4;73;4;66;3;76;4;84;B+;360;86
TI;COLOMBIA;F;27/06/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;69;4;76;4;67;3;77;4;88;B+;367;90
TI;COLOMBIA;M;15/03/2000;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;67;4;68;3;66;3;66;3;62;A2;332;71
CC;COLOMBIA;F;18/11/1996;COLOMBIA;EL PAUJÕL;Estrato 1;5 a 6;No;No;MIXTO;A;URBANO;SABATINA;50;2;43;2;47;2;45;2;34;A-;227;21
TI;COLOMBIA;F;5/07/2000;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;75;4;73;4;69;3;76;4;100;B+;377;94
TI;COLOMBIA;F;17/07/2001;COLOMBIA;CALI;Estrato 3;7 a 8;Si;Si;MIXTO;B;URBANO;COMPLETA;60;3;54;3;53;2;53;2;65;A2;279;44
CC;COLOMBIA;M;27/10/1998;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;5 a 6;Si;Si;MIXTO;A;URBANO;NOCHE;52;3;54;3;55;2;53;2;51;A1;267;38
TI;COLOMBIA;F;17/10/2001;COLOMBIA;CALI;Sin Estrato;3 a 4;Sin respuesta;Si;MIXTO;B;URBANO;MA—ANA;77;4;75;4;67;3;72;4;79;B+;366;90
TI;COLOMBIA;M;26/09/2001;COLOMBIA;POPAY¡N;Estrato 3;3 a 4;Si;Si;MASCULINO;B;URBANO;COMPLETA;77;4;100;4;100;4;81;4;77;B1;443;100
